date,usd,eur
2023-08-15,31.5251,34.55876037
2023-08-11,31.3554,34.55176947
2023-08-10,31.2376,34.31731498
2023-08-09,31.0989,34.05951528
2023-08-08,30.9685,34.06875653
2023-08-07,30.9826,34.19301701
2023-08-04,30.1042,32.92135103
2023-08-03,29.7559,32.52200846
2023-08-02,29.6153,32.50960326
2023-08-01,29.5037,32.51897814
2023-07-31,29.512,32.56088472
2023-07-28,29.3052,32.22136045
2023-07-27,29.314,32.46760012
2023-07-26,29.1042,32.15402911
2023-07-25,29.0872,32.3542743
2023-07-21,28.9906,32.30654482
2023-07-20,28.8789,32.3362819
2023-07-19,28.8123,32.37897461
2023-07-18,28.6695,32.19498841
2023-07-17,28.6099,32.16239128
2023-07-14,28.4556,31.83612528
2023-07-13,28.3529,31.51991893
2023-07-12,28.3568,31.1578847
2023-07-11,28.2066,30.97507779
2023-07-10,28.3048,30.98328322
2023-07-07,28.2768,30.73122624
2023-07-06,28.1648,30.69991364
2023-07-04,28.0162,30.5751997
2023-06-30,27.8546,30.32753138
2023-06-29,27.8374,30.37784112
2023-06-28,27.7156,30.34969062
2023-06-27,27.6169,30.13500894
2023-06-26,27.6096,30.04835596
2023-06-23,27.542,30.17887108
2023-06-22,27.3,29.880669
2023-06-21,27.2543,29.73280604
2023-06-20,27.278,29.81185342
2023-06-16,27.1737,29.66906087
2023-06-15,27.1053,29.40789523
2023-06-14,27.018,29.18727522
2023-06-13,27.021,29.06540886
2023-06-09,26.8571,28.93234811
2023-06-08,26.7038,28.58561678
2023-06-07,26.6329,28.46843946
2023-06-06,26.4625,28.3413375
2023-06-05,26.5963,28.51868056
2023-06-02,26.4672,28.40671641
2023-06-01,26.267,27.99930865
2023-05-31,26.1639,28.07124831
2023-05-30,26.2548,28.11705296
2023-05-29,26.2714,28.12589812
2023-05-26,26.1295,28.03434055
2023-05-25,26.037,28.02492495
2023-05-24,26.0015,28.02779689
2023-05-23,26.0055,28.07137692
2023-05-19,25.9029,27.90001359
2023-05-18,25.8122,27.93112349
2023-05-17,25.6479,27.87003405
